seq_id	insertion_date	mcl_clust	ap_clust
596	65384	mcl_25	ap_clust_1513
597	1480769	mcl_17	ap_clust_9164
598	1430769	mcl_3	ap_clust_6794
599	230769	mcl_9	ap_clust_4706
600	61538	mcl_4	ap_clust_407
601	434615	mcl_7	ap_clust_5823
602	850000	mcl_2	ap_clust_5727
603	88461	mcl_212	ap_clust_603
604	338461	mcl_11	ap_clust_6694
605	492307	mcl_7	ap_clust_12520
606	138461	mcl_34	ap_clust_1058
607	1415384	mcl_1	ap_clust_11215
608	1069230	mcl_2	ap_clust_5898
609	65384	mcl_25	ap_clust_9091
610	1615384	mcl_9	ap_clust_9527
611	673076	mcl_2	ap_clust_5133
612	869230	mcl_14	ap_clust_11896
613	653846	mcl_8	ap_clust_3542
614	388461	mcl_19	ap_clust_9765
615	580769	mcl_9	ap_clust_13029
616	184615	mcl_21	ap_clust_9976
617	80769	mcl_23	ap_clust_5479
618	1534615	mcl_17	ap_clust_9164
619	1050000	mcl_3	ap_clust_6794
620	57692	mcl_4	ap_clust_6582
621	638461	mcl_19	ap_clust_12595
622	688461	mcl_11	ap_clust_6694
623	2415384	mcl_29	ap_clust_9376
624	1750000	mcl_10	ap_clust_10865
625	342307	mcl_11	ap_clust_8560
626	180769	mcl_4	ap_clust_407
627	330769	mcl_6	ap_clust_10614
628	192307	mcl_17	ap_clust_4839
629	1400000	mcl_28	ap_clust_8228
630	915384	mcl_2	ap_clust_5727
631	761538	mcl_26	ap_clust_3148
632	480769	mcl_11	ap_clust_6694
633	130769	mcl_6	ap_clust_10614
634	269230	mcl_1	ap_clust_6936
635	523076	mcl_9	ap_clust_4706
636	976923	mcl_2	ap_clust_5382
637	246153	mcl_5	ap_clust_7095
638	1623076	mcl_213	ap_clust_638
639	1403846	mcl_10	ap_clust_10574
640	88461	mcl_28	ap_clust_4599
641	157692	mcl_55	ap_clust_2561
642	123076	mcl_2	ap_clust_2029
643	2642307	mcl_37	ap_clust_6794
644	496153	mcl_14	ap_clust_189
645	976923	mcl_1	ap_clust_7443
646	1242307	mcl_9	ap_clust_3106
647	442307	mcl_24	ap_clust_2238
648	92307	mcl_2	ap_clust_1780
649	469230	mcl_14	ap_clust_9266
650	346153	mcl_24	ap_clust_6228
651	834615	mcl_24	ap_clust_6228
652	211538	mcl_32	ap_clust_3153
653	638461	mcl_11	ap_clust_8560
654	200000	mcl_6	ap_clust_7049
655	1480769	mcl_3	ap_clust_6794
656	465384	mcl_13	ap_clust_734
657	757692	mcl_5	ap_clust_6986
658	257692	mcl_18	ap_clust_8623
659	23076	mcl_5	ap_clust_6986
660	5380769	mcl_44	ap_clust_584
661	1080769	mcl_22	ap_clust_6250
662	965384	mcl_13	ap_clust_734
663	988461	mcl_9	ap_clust_3106
664	438461	mcl_50	ap_clust_11849
665	303846	mcl_17	ap_clust_4839
666	1388461	mcl_17	ap_clust_4839
667	1000000	mcl_1	ap_clust_7443
668	292307	mcl_28	ap_clust_4599
669	130769	mcl_6	ap_clust_10614
670	65384	mcl_14	ap_clust_9266
671	523076	mcl_78	ap_clust_6085
672	61538	mcl_4	ap_clust_6582
673	623076	mcl_21	ap_clust_4388
674	257692	mcl_16	ap_clust_1556
675	65384	mcl_6	ap_clust_7049
676	1553846	mcl_10	ap_clust_10038
677	1257692	mcl_23	ap_clust_5479
678	4553846	mcl_7	ap_clust_5823
679	365384	mcl_1	ap_clust_448
680	842307	mcl_2	ap_clust_5727
681	865384	mcl_17	ap_clust_7495
682	88461	mcl_1	ap_clust_3526
683	676923	mcl_89	ap_clust_10848
684	126923	mcl_16	ap_clust_12069
685	2100000	mcl_3	ap_clust_6214
686	861538	mcl_21	ap_clust_4706
687	57692	mcl_12	ap_clust_3502
688	1153846	mcl_14	ap_clust_11896
689	792307	mcl_79	ap_clust_6180
690	573076	mcl_23	ap_clust_5479
691	384615	mcl_5	ap_clust_6986
692	950000	mcl_9	ap_clust_1565
693	1226923	mcl_2	ap_clust_5727
694	2557692	mcl_383	ap_clust_0
695	111538	mcl_5	ap_clust_7095
696	650000	mcl_23	ap_clust_5479
697	753846	mcl_9	ap_clust_3106
698	103846	mcl_122	ap_clust_2052
699	1423076	mcl_2	ap_clust_5727
700	1142307	mcl_28	ap_clust_8228
701	265384	mcl_5	ap_clust_4927
702	1873076	mcl_15	ap_clust_13067
703	123076	mcl_1	ap_clust_3526
704	211538	mcl_1	ap_clust_6936
705	338461	mcl_47	ap_clust_11074
706	415384	mcl_24	ap_clust_2238
707	2703846	mcl_37	ap_clust_11290
708	0	mcl_12	ap_clust_4372
709	2403846	mcl_2	ap_clust_11340
710	0	mcl_12	ap_clust_3502
711	0	mcl_4	ap_clust_6582
712	0	mcl_4	ap_clust_6582
713	173076	mcl_72	ap_clust_4060
714	111538	mcl_384	ap_clust_0
715	2073076	mcl_29	ap_clust_9376
716	969230	mcl_3	ap_clust_12415
717	180769	mcl_4	ap_clust_10201
718	723076	mcl_8	ap_clust_1525
719	280769	mcl_19	ap_clust_3791
720	0	mcl_5	ap_clust_6986
721	123076	mcl_20	ap_clust_1780
722	1107692	mcl_2	ap_clust_5382
723	492307	mcl_7	ap_clust_5823
724	353846	mcl_6	ap_clust_10614
725	865384	mcl_152	ap_clust_8262
726	253846	mcl_45	ap_clust_2893
727	1107692	mcl_2	ap_clust_5382
728	1469230	mcl_41	ap_clust_5999
729	223076	mcl_13	ap_clust_734
730	346153	mcl_19	ap_clust_4319
731	130769	mcl_124	ap_clust_731
732	184615	mcl_2	ap_clust_1780
733	2273076	mcl_29	ap_clust_9376
734	173076	mcl_13	ap_clust_734
735	384615	mcl_1	ap_clust_448
736	153846	mcl_20	ap_clust_7258
737	865384	mcl_1	ap_clust_3665
738	1000000	mcl_1	ap_clust_7443
739	642307	mcl_1	ap_clust_2799
740	357692	mcl_1	ap_clust_6936
741	423076	mcl_1	ap_clust_6936
742	346153	mcl_22	ap_clust_11402
743	338461	mcl_5	ap_clust_6986
744	307692	mcl_7	ap_clust_2432
745	1292307	mcl_5	ap_clust_802
746	1688461	mcl_46	ap_clust_6996
747	296153	mcl_24	ap_clust_6228
748	53846	mcl_12	ap_clust_4372
749	84615	mcl_5	ap_clust_11702
750	419230	mcl_1	ap_clust_10832
751	2484615	mcl_5	ap_clust_6986
752	561538	mcl_7	ap_clust_5823
753	1326923	mcl_1	ap_clust_9488
754	353846	mcl_6	ap_clust_10614
755	834615	mcl_1	ap_clust_2799
756	1023076	mcl_1	ap_clust_3665
757	623076	mcl_9	ap_clust_3106
758	265384	mcl_6	ap_clust_7049
759	219230	mcl_2	ap_clust_1137
760	384615	mcl_2	ap_clust_1137
761	2426923	mcl_3	ap_clust_11290
762	480769	mcl_1	ap_clust_5349
763	1950000	mcl_1	ap_clust_11215
764	3219230	mcl_15	ap_clust_9876
765	653846	mcl_8	ap_clust_13250
766	726923	mcl_35	ap_clust_415
767	1665384	mcl_3	ap_clust_11003
768	8180769	mcl_385	ap_clust_5823
769	10907692	mcl_386	ap_clust_0
770	223076	mcl_5	ap_clust_6986
771	334615	mcl_17	ap_clust_9164
772	300000	mcl_5	ap_clust_4927
773	315384	mcl_2	ap_clust_1780
774	2003846	mcl_43	ap_clust_11397
775	953846	mcl_8	ap_clust_6460
776	1073076	mcl_8	ap_clust_13250
777	8573076	mcl_61	ap_clust_11
778	173076	mcl_13	ap_clust_9805
779	826923	mcl_27	ap_clust_9984
780	280769	mcl_5	ap_clust_6751
781	1565384	mcl_2	ap_clust_1792
782	3665384	mcl_67	ap_clust_10359
783	996153	mcl_8	ap_clust_1609
784	0	mcl_25	ap_clust_9091
785	176923	mcl_1	ap_clust_10832
786	465384	mcl_8	ap_clust_1525
787	288461	mcl_30	ap_clust_5725
788	146153	mcl_30	ap_clust_5725
789	1088461	mcl_26	ap_clust_3148
790	57692	mcl_12	ap_clust_3502
791	2453846	mcl_2	ap_clust_1792
792	946153	mcl_39	ap_clust_556
793	369230	mcl_1	ap_clust_5349
794	12350000	mcl_22	ap_clust_4356
795	1226923	mcl_1	ap_clust_3665
796	0	mcl_216	ap_clust_796
797	965384	mcl_1	ap_clust_13156
798	1469230	mcl_15	ap_clust_9982
799	342307	mcl_21	ap_clust_9976
800	0	mcl_25	ap_clust_9091
801	903846	mcl_2	ap_clust_5133
802	803846	mcl_5	ap_clust_802
803	65384	mcl_18	ap_clust_8623
804	1573076	mcl_26	ap_clust_3148
805	1084615	mcl_8	ap_clust_13250
806	403846	mcl_2	ap_clust_5474
807	1542307	mcl_3	ap_clust_12415
808	65384	mcl_6	ap_clust_7049
809	1276923	mcl_11	ap_clust_8560
810	1800000	mcl_10	ap_clust_12913
811	1011538	mcl_24	ap_clust_6228
812	1511538	mcl_10	ap_clust_11708
813	338461	mcl_40	ap_clust_10463
814	1584615	mcl_24	ap_clust_9288
815	76923	mcl_19	ap_clust_9765
816	1569230	mcl_28	ap_clust_8228
817	61538	mcl_4	ap_clust_6582
818	757692	mcl_8	ap_clust_2713
819	119230	mcl_4	ap_clust_6582
820	634615	mcl_11	ap_clust_8560
821	2280769	mcl_31	ap_clust_10304
822	415384	mcl_5	ap_clust_6986
